[2021-10-13 01:11:15,276] DEBUG  Recall: 0.07533112582781457,coverage: 0.3073394495412844,novelty: 0.8066206574440002,unexpectedness: 0.5206953642384106,relevance: 0.29233816910500726
[2021-10-13 01:11:15,277] DEBUG  Finished KNNpopularity, {'k': 5}
[2021-10-13 01:11:15,554] DEBUG  Started KNNpopularity, {'k': 10}
[2021-10-13 01:14:18,234] DEBUG  Recall: 0.08112582781456953,coverage: 0.2366432811656773,novelty: 0.7820445895195007,unexpectedness: 0.3352649006622517,relevance: 0.2932451787010204
[2021-10-13 01:14:18,234] DEBUG  Finished KNNpopularity, {'k': 10}
[2021-10-13 01:14:18,512] DEBUG  Started KNNpopularity, {'k': 15}
[2021-10-13 01:17:32,669] DEBUG  Recall: 0.08609271523178808,coverage: 0.2050728548300054,novelty: 0.7544700503349304,unexpectedness: 0.2639072847682119,relevance: 0.2928664837924969
[2021-10-13 01:17:32,670] DEBUG  Finished KNNpopularity, {'k': 15}
[2021-10-13 01:17:32,947] DEBUG  Started KNNpopularity, {'k': 20}
[2021-10-13 01:20:49,488] DEBUG  Recall: 0.0836092715231788,coverage: 0.1829465731246627,novelty: 0.7494011521339417,unexpectedness: 0.31920529801324504,relevance: 0.2915136240367329
[2021-10-13 01:20:49,489] DEBUG  Finished KNNpopularity, {'k': 20}
[2021-10-13 01:20:49,765] DEBUG  Started KNNpopularity, {'k': 30}
[2021-10-13 01:24:23,282] DEBUG  Recall: 0.08278145695364239,coverage: 0.15893146249325418,novelty: 0.7331822514533997,unexpectedness: 0.36134105960264895,relevance: 0.2880449939637745
[2021-10-13 01:24:23,282] DEBUG  Finished KNNpopularity, {'k': 30}
[2021-10-13 01:24:23,556] DEBUG  Started KNNpopularity, {'k': 40}
[2021-10-13 01:28:08,917] DEBUG  Recall: 0.0836092715231788,coverage: 0.13815434430652995,novelty: 0.7169581651687622,unexpectedness: 0.4029801324503311,relevance: 0.28564876663124517
[2021-10-13 01:28:08,918] DEBUG  Finished KNNpopularity, {'k': 40}
[2021-10-13 01:28:09,193] DEBUG  Started KNNpopularity, {'k': 50}
[2021-10-13 01:32:11,162] DEBUG  Recall: 0.08278145695364239,coverage: 0.12898003237992445,novelty: 0.7042673826217651,unexpectedness: 0.43460264900662254,relevance: 0.28294409393856856
[2021-10-13 01:32:11,162] DEBUG  Finished KNNpopularity, {'k': 50}
[2021-10-13 01:32:11,434] DEBUG  Started KNNpopularity, {'k': 60}
[2021-10-13 01:36:26,688] DEBUG  Recall: 0.0836092715231788,coverage: 0.11575822989746357,novelty: 0.6888561844825745,unexpectedness: 0.48211920529801333,relevance: 0.2808549416492484
[2021-10-13 01:36:26,689] DEBUG  Finished KNNpopularity, {'k': 60}
[2021-10-13 01:36:26,960] DEBUG  Started KNNpopularity, {'k': 70}
[2021-10-13 01:40:52,244] DEBUG  Recall: 0.08526490066225166,coverage: 0.10793308148947653,novelty: 0.6779860854148865,unexpectedness: 0.5751655629139073,relevance: 0.27868624286324983
[2021-10-13 01:40:52,244] DEBUG  Finished KNNpopularity, {'k': 70}
[2021-10-13 01:40:52,515] DEBUG  Started KNNpopularity, {'k': 80}
[2021-10-13 01:45:31,461] DEBUG  Recall: 0.0802980132450331,coverage: 0.10199676200755532,novelty: 0.6645212769508362,unexpectedness: 0.9597682119205299,relevance: 0.2766249023667557
[2021-10-13 01:45:31,461] DEBUG  Finished KNNpopularity, {'k': 80}
[2021-10-13 01:45:31,730] DEBUG  Started KNNpopularity, {'k': 90}
[2021-10-13 01:50:24,722] DEBUG  Recall: 0.0802980132450331,coverage: 0.09579060982191041,novelty: 0.6575667858123779,unexpectedness: 0.9578642384105961,relevance: 0.2754018065828818
[2021-10-13 01:50:24,722] DEBUG  Finished KNNpopularity, {'k': 90}
[2021-10-13 01:50:24,992] DEBUG  Started KNNpopularity, {'k': 100}
[2021-10-13 01:55:29,829] DEBUG  Recall: 0.08857615894039735,coverage: 0.09093362115488397,novelty: 0.6488868594169617,unexpectedness: 0.9564569536423841,relevance: 0.2734647038754146
[2021-10-13 01:55:29,829] DEBUG  Finished KNNpopularity, {'k': 100}
[2021-10-13 01:55:30,098] DEBUG  Started KNNpopularity, {'k': 300}
[2021-10-13 02:05:09,896] DEBUG  Recall: 0.06788079470198675,coverage: 0.05558553696708041,novelty: 0.5577728152275085,unexpectedness: 0.9567880794701988,relevance: 0.25630038788377896
[2021-10-13 02:05:09,896] DEBUG  Finished KNNpopularity, {'k': 300}
[2021-10-13 02:05:10,168] DEBUG  Started KNNpopularity, {'k': 500}
[2021-10-13 02:19:24,663] DEBUG  Recall: 0.056291390728476824,coverage: 0.04506206152185645,novelty: 0.5173619985580444,unexpectedness: 0.9514072847682119,relevance: 0.24850541063041742
[2021-10-13 02:19:24,663] DEBUG  Finished KNNpopularity, {'k': 500}
[2021-10-13 02:19:24,934] DEBUG  Started KNNpopularity, {'k': 700}
[2021-10-13 02:38:12,576] DEBUG  Recall: 0.04966887417218543,coverage: 0.03939557474365893,novelty: 0.48225393891334534,unexpectedness: 0.9495860927152318,relevance: 0.24323880568978354
[2021-10-13 02:38:12,577] DEBUG  Finished KNNpopularity, {'k': 700}
[2021-10-13 02:38:12,848] DEBUG  Started KNNpopularity, {'k': 1000}
[2021-10-13 03:03:49,528] DEBUG  Recall: 0.04718543046357616,coverage: 0.03588774959525094,novelty: 0.440154105424881,unexpectedness: 0.9508278145695366,relevance: 0.2379290609883198
[2021-10-13 03:03:49,528] DEBUG  Finished KNNpopularity, {'k': 1000}
[2021-10-13 03:03:49,555] INFO  Grid search ended: KNNpopularity
[2021-10-13 03:03:49,556] INFO  Saved KNNpopularity as results\gs_unexp_but_i\KNNpopularity.joblib
[2021-10-13 03:03:51,438] INFO  Grid search started: MatrixFactorization
