[2021-10-19 00:22:26,290] DEBUG  Recall: 0.024006622516556293,coverage: 0.06718834322719913,novelty: 0.7271735668182373,unexpectedness: 0.008609271523178808,relevance: 0.3419632295823861
[2021-10-19 00:22:26,291] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 11}
[2021-10-19 00:22:42,625] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 42}
[2021-10-19 00:23:31,631] DEBUG  Recall: 0.027317880794701987,coverage: 0.06934700485698866,novelty: 0.7386455535888672,unexpectedness: 0.016390728476821194,relevance: 0.34731778090598325
[2021-10-19 00:23:31,632] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 42}
[2021-10-19 00:23:46,728] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 77}
[2021-10-19 00:24:41,987] DEBUG  Recall: 0.019867549668874173,coverage: 0.06556934700485699,novelty: 0.7120797038078308,unexpectedness: 0.009188741721854304,relevance: 0.34106224934941193
[2021-10-19 00:24:41,987] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 77}
[2021-10-19 00:24:54,669] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 11}
[2021-10-19 00:25:48,375] DEBUG  Recall: 0.02152317880794702,coverage: 0.013491635186184566,novelty: 0.4947376251220703,unexpectedness: 0.0201158940397351,relevance: 0.28833761240247185
[2021-10-19 00:25:48,376] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 11}
[2021-10-19 00:26:01,753] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 42}
[2021-10-19 00:26:57,719] DEBUG  Recall: 0.020695364238410598,coverage: 0.024015110631408525,novelty: 0.5753500461578369,unexpectedness: 0.005960264900662253,relevance: 0.29877230128151083
[2021-10-19 00:26:57,720] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 42}
[2021-10-19 00:27:10,732] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 77}
[2021-10-19 00:27:58,973] DEBUG  Recall: 0.01903973509933775,coverage: 0.019967620075553156,novelty: 0.5503771901130676,unexpectedness: 0.0035596026490066226,relevance: 0.292664933225902
[2021-10-19 00:27:58,973] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 77}
[2021-10-19 00:28:18,768] DEBUG  Started AutoRec, {'hidden_layer_size': 768, 'random_state': 11}
[2021-10-19 00:29:16,920] DEBUG  Recall: 0.024834437086092714,coverage: 0.04371289800323799,novelty: 0.6945715546607971,unexpectedness: 0.010844370860927153,relevance: 0.3315287531776327
[2021-10-19 00:29:16,921] DEBUG  Finished AutoRec, {'hidden_layer_size': 768, 'random_state': 11}
[2021-10-19 00:29:26,261] DEBUG  Started AutoRec, {'hidden_layer_size': 768, 'random_state': 42}
[2021-10-19 00:30:13,162] DEBUG  Recall: 0.01903973509933775,coverage: 0.0059363194819212085,novelty: 0.3232860863208771,unexpectedness: 0.0014072847682119207,relevance: 0.2573943452201973
[2021-10-19 00:30:13,163] DEBUG  Finished AutoRec, {'hidden_layer_size': 768, 'random_state': 42}
[2021-10-19 00:30:22,501] DEBUG  Started AutoRec, {'hidden_layer_size': 768, 'random_state': 77}
[2021-10-19 00:31:09,191] DEBUG  Recall: 0.01903973509933775,coverage: 0.007015650296815974,novelty: 0.3105786144733429,unexpectedness: 0.0020695364238410598,relevance: 0.2577368945125569
[2021-10-19 00:31:09,191] DEBUG  Finished AutoRec, {'hidden_layer_size': 768, 'random_state': 77}
[2021-10-19 00:31:18,610] DEBUG  Started AutoRec, {'hidden_layer_size': 1024, 'random_state': 11}
[2021-10-19 00:32:06,224] DEBUG  Recall: 0.023178807947019868,coverage: 0.006745817593092283,novelty: 0.287477970123291,unexpectedness: 0.0026490066225165563,relevance: 0.25495605385399606
[2021-10-19 00:32:06,225] DEBUG  Finished AutoRec, {'hidden_layer_size': 1024, 'random_state': 11}
[2021-10-19 00:32:25,490] DEBUG  Started AutoRec, {'hidden_layer_size': 1024, 'random_state': 42}
[2021-10-19 00:33:12,565] DEBUG  Recall: 0.028973509933774833,coverage: 0.046141392336751214,novelty: 0.6995689868927002,unexpectedness: 0.012582781456953641,relevance: 0.3270252746265001
[2021-10-19 00:33:12,566] DEBUG  Finished AutoRec, {'hidden_layer_size': 1024, 'random_state': 42}
[2021-10-19 00:33:22,037] DEBUG  Started AutoRec, {'hidden_layer_size': 1024, 'random_state': 77}
[2021-10-19 00:34:09,654] DEBUG  Recall: 0.02152317880794702,coverage: 0.005396654074473826,novelty: 0.2790677547454834,unexpectedness: 0.011589403973509936,relevance: 0.255896715069919
[2021-10-19 00:34:09,654] DEBUG  Finished AutoRec, {'hidden_layer_size': 1024, 'random_state': 77}
[2021-10-19 00:34:19,281] DEBUG  Started AutoRec, {'hidden_layer_size': 1536, 'random_state': 11}
[2021-10-19 00:35:07,915] DEBUG  Recall: 0.023178807947019868,coverage: 0.0059363194819212085,novelty: 0.2857436239719391,unexpectedness: 0.0052152317880794705,relevance: 0.2518610314429946
[2021-10-19 00:35:07,915] DEBUG  Finished AutoRec, {'hidden_layer_size': 1536, 'random_state': 11}
[2021-10-19 00:35:17,478] DEBUG  Started AutoRec, {'hidden_layer_size': 1536, 'random_state': 42}
[2021-10-19 00:36:04,773] DEBUG  Recall: 0.018211920529801324,coverage: 0.005666486778197518,novelty: 0.3132937550544739,unexpectedness: 0.0026490066225165563,relevance: 0.2537865385670403
[2021-10-19 00:36:04,773] DEBUG  Finished AutoRec, {'hidden_layer_size': 1536, 'random_state': 42}
[2021-10-19 00:36:25,404] DEBUG  Started AutoRec, {'hidden_layer_size': 1536, 'random_state': 77}
[2021-10-19 00:37:23,524] DEBUG  Recall: 0.02566225165562914,coverage: 0.04371289800323799,novelty: 0.6963216662406921,unexpectedness: 0.009685430463576158,relevance: 0.32823125063374775
[2021-10-19 00:37:23,525] DEBUG  Finished AutoRec, {'hidden_layer_size': 1536, 'random_state': 77}
[2021-10-19 00:37:41,721] DEBUG  Started AutoRec, {'hidden_layer_size': 2048, 'random_state': 11}
[2021-10-19 00:38:36,640] DEBUG  Recall: 0.02152317880794702,coverage: 0.039665407447382624,novelty: 0.6689979434013367,unexpectedness: 0.00869205298013245,relevance: 0.31801825054651595
[2021-10-19 00:38:36,640] DEBUG  Finished AutoRec, {'hidden_layer_size': 2048, 'random_state': 11}
[2021-10-19 00:38:48,869] DEBUG  Started AutoRec, {'hidden_layer_size': 2048, 'random_state': 42}
[2021-10-19 00:39:43,116] DEBUG  Recall: 0.019867549668874173,coverage: 0.005396654074473826,novelty: 0.27554628252983093,unexpectedness: 0.00033112582781456954,relevance: 0.2596872934798004
